product_id,name,category,base_price,supplier,country,in_stock,discount,product_added_date
1,Gym Bag,Sportswear,147.98,SupplierC,India,True,39.86,2025-07-04T12:34:06.651937
2,Formal Shirt,Clothing,282.63,SupplierB,UK,True,19.37,2025-06-28T12:34:06.651937
3,Bed Frame,Furniture,1598.77,SupplierA,Japan,True,45.96,2025-07-15T12:34:06.651937
4,Board Game,Toys,611.63,SupplierB,UK,False,11.66,2025-07-12T12:34:06.651937
5,Winter Jacket,Clothing,781.87,SupplierB,India,True,15.78,2025-07-20T12:34:06.651937
6,Microwave Oven,Home Appliances,586.17,SupplierE,USA,True,16.37,2025-07-11T12:34:06.651937
7,Football Boots,Sportswear,560.59,SupplierD,UK,False,11.25,2025-07-09T12:34:06.651937
8,Gym Bag,Sportswear,1532.9,SupplierD,UK,False,1.94,2025-07-24T12:34:06.651937
9,Action Figure,Toys,711.56,SupplierB,USA,False,27.22,2025-07-19T12:34:06.651937
10,Gym Bag,Sportswear,1569.79,SupplierD,UK,True,33.07,2025-07-20T12:34:06.651937
11,Bluetooth Speaker,Electronics,1144.46,SupplierD,Japan,False,14.21,2025-07-19T12:34:06.651937
12,Cycling Helmet,Sportswear,1157.21,SupplierA,Germany,True,47.37,2025-06-25T12:34:06.651937
13,Science Fiction,Books,990.11,SupplierC,Germany,False,38.06,2025-07-12T12:34:06.651937
14,Microwave Oven,Home Appliances,1399.34,SupplierB,USA,True,43.17,2025-06-28T12:34:06.651937
15,Biography,Books,349.43,SupplierD,UK,True,12.63,2025-07-07T12:34:06.651937
16,Sports T-Shirt,Clothing,591.77,SupplierC,Japan,False,11.1,2025-07-24T12:34:06.651937
17,Raincoat,Clothing,1441.22,SupplierB,Germany,False,4.15,2025-07-13T12:34:06.651937
18,Tennis Racket,Sportswear,1833.9,SupplierC,Germany,False,4.78,2025-07-07T12:34:06.651937
19,Smartwatch,Electronics,1375.54,SupplierD,UK,True,20.09,2025-07-06T12:34:06.651937
20,Air Conditioner,Home Appliances,1259.15,SupplierE,India,False,5.83,2025-06-25T12:34:06.651937
21,Vacuum Cleaner,Home Appliances,123.83,SupplierB,USA,False,14.58,2025-07-09T12:34:06.651937
22,Air Conditioner,Home Appliances,272.07,SupplierC,Germany,False,11.58,2025-07-13T12:34:06.651937
23,Jeans,Clothing,1037.64,SupplierC,Japan,False,15.94,2025-07-16T12:34:06.651937
24,Biography,Books,373.17,SupplierB,Germany,False,45.68,2025-07-21T12:34:06.651937
25,Dollhouse,Toys,1634.34,SupplierB,Japan,False,3.73,2025-07-24T12:34:06.651937
26,Laptop,Electronics,1902.62,SupplierA,UK,False,28.34,2025-06-27T12:34:06.651937
27,Wireless Headphones,Electronics,718.62,SupplierD,USA,True,24.04,2025-07-13T12:34:06.651937
28,Puzzle Set,Toys,336.13,SupplierB,UK,True,12.6,2025-07-10T12:34:06.651937
29,Remote Control Car,Toys,541.21,SupplierE,USA,True,6.66,2025-07-02T12:34:06.651937
30,Building Blocks,Toys,1244.95,SupplierB,Japan,False,10.81,2025-06-30T12:34:06.651937
31,Travel Guide,Books,1950.94,SupplierD,Japan,True,4.18,2025-07-12T12:34:06.651937
32,Bluetooth Speaker,Electronics,649.46,SupplierB,USA,False,27.04,2025-06-26T12:34:06.651937
33,Refrigerator,Home Appliances,1620.27,SupplierB,Germany,True,11.2,2025-07-10T12:34:06.651937
34,Tennis Racket,Sportswear,36.74,SupplierD,USA,True,39.95,2025-07-14T12:34:06.651937
35,Microwave Oven,Home Appliances,518.26,SupplierD,Japan,True,9.31,2025-07-04T12:34:06.651937
36,Dining Table,Furniture,1020.89,SupplierC,Japan,True,25.83,2025-07-20T12:34:06.651937
37,Action Figure,Toys,593.95,SupplierE,Germany,True,32.76,2025-07-13T12:34:06.651937
38,Science Fiction,Books,1321.93,SupplierD,USA,False,3.52,2025-07-23T12:34:06.651937
39,Running Shoes,Clothing,1794.37,SupplierE,UK,True,42.32,2025-07-01T12:34:06.651937
40,Coffee Maker,Home Appliances,1220.67,SupplierD,India,True,18.62,2025-06-27T12:34:06.651937
41,Wireless Headphones,Electronics,1661.85,SupplierD,UK,True,4.48,2025-07-11T12:34:06.651937
